comm_type,comm_group,comm_group_size,msg_size,stage,dst,src,additional,_elapsed_time,algbw,busbw,count
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5754879713058472,67.88,118.79,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.2390400171279907,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.2441600561141968,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5765119791030884,67.76,118.57,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.376255989074707,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.381376028060913,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.579584002494812,67.4,117.95,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.2390400171279907,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.206272006034851,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5468159914016724,71.44,125.01,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.3731839656829834,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.3824000358581543,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.638975977897644,61.13,106.98,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.2431360483169556,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.2472319602966309,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5591040253639221,69.87,122.27,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.3772799968719482,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.3834240436553955,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5642240047454834,69.23,121.16,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.2390400171279907,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.2410880327224731,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5519359707832336,70.77,123.85,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.3721599578857422,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.3383680582046509,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.6369280219078064,61.33,107.33,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.235967993736267,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.2451839447021484,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5754879713058472,67.88,118.79,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.3783040046691895,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.3793280124664307,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5591040253639221,69.87,122.27,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.2165119647979736,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.2390400171279907,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5478399991989136,71.3,124.78,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.376255989074707,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.3926399946212769,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.6338559985160828,61.63,107.85,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.2390400171279907,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.2421120405197144,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5642240047454834,69.23,121.16,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.3793280124664307,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.3875199556350708,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,1.2533760070800781,31.17,54.54,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.2318719625473022,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.2503039836883545,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5478399991989136,71.3,124.78,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.3793280124664307,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.3803520202636719,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.562175989151001,69.48,121.6,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.2472319602966309,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.2441600561141968,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5734400153160095,68.12,119.21,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.3772799968719482,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.3916159868240356,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5765119791030884,67.76,118.57,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.2349439859390259,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.2431360483169556,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5683199763298035,68.73,120.28,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.3793280124664307,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.3803520202636719,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5631999969482422,69.36,121.38,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.240064024925232,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.2421120405197144,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5611519813537598,69.61,121.82,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.376255989074707,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.3864959478378296,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5754879713058472,67.88,118.79,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.235967993736267,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.2441600561141968,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5734400153160095,68.12,119.21,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.3783040046691895,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.3834240436553955,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5744640231132507,68.0,119.0,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.240064024925232,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.2421120405197144,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.6154239773750305,63.47,111.08,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.3783040046691895,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.3834240436553955,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5898240208625793,66.23,115.9,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.240064024925232,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.2339199781417847,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5867519974708557,66.57,116.5,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.3567999601364136,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.376255989074707,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5642240047454834,69.23,121.16,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.240064024925232,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.240064024925232,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.6041600108146667,64.66,113.15,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.3772799968719482,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.3824000358581543,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5652480125427246,69.11,120.94,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.240064024925232,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.2513279914855957,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5703679919242859,68.49,119.85,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.3793280124664307,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.3824000358581543,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5662720203399658,68.98,120.72,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.2390400171279907,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.2410880327224731,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.6072319746017456,64.33,112.58,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.3772799968719482,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.3834240436553955,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5631999969482422,69.36,121.38,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.2390400171279907,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.2410880327224731,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.562175989151001,69.48,121.6,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.3731839656829834,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.381376028060913,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.6072319746017456,64.33,112.58,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.2492799758911133,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.2410880327224731,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.6430720090866089,60.74,106.3,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.3793280124664307,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.3803520202636719,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5611519813537598,69.61,121.82,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.2390400171279907,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.2410880327224731,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5488640069961548,71.17,124.55,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.3793280124664307,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.381376028060913,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5550079941749573,70.38,123.17,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.2390400171279907,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.2410880327224731,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5816320180892944,67.16,117.53,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.3772799968719482,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.3834240436553955,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.562175989151001,69.48,121.6,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.2369920015335083,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.2431360483169556,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5631999969482422,69.36,121.38,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.393664002418518,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.369088053703308,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.6236159801483154,62.64,109.62,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.2257280349731445,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.222656011581421,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.6277120113372803,62.23,108.9,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.3649920225143433,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.3619199991226196,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5662720203399658,68.98,120.72,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.2247040271759033,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.222656011581421,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5478399991989136,71.3,124.78,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.3629440069198608,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.3629440069198608,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5642240047454834,69.23,121.16,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.2318719625473022,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.2257280349731445,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.7045120000839233,55.45,97.03,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.363968014717102,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.3649920225143433,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5703679919242859,68.49,119.85,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.2247040271759033,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.2216320037841797,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5478399991989136,71.3,124.78,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.3649920225143433,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.3629440069198608,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.6062080264091492,64.44,112.77,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.230847954750061,0,0,1
CommType.computation,None,None,((4096 1 640) (640 5120)),forward.MegatronRowLinear.attention_row,None,None,,1.222656011581421,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.609279990196228,64.11,112.2,1
CommType.computation,None,None,((4096 1 5120) (5120 1704)),forward.MegatronColumnLinear.mlp_column,None,None,,1.3629440069198608,0,0,1
CommType.computation,None,None,((4096 1 1704) (1704 5120)),forward.MegatronRowLinear.mlp_row,None,None,,1.3619199991226196,0,0,1
CommType.all_reduce,CommGroup.tp_group,8,41943040,forward.MegatronRowLinear,None,None,,0.5519359707832336,70.77,123.85,1
CommType.computation,None,None,((4096 1 5120) (5120 1920)),forward.MegatronColumnLinear.attention_column,None,None,,1.1991039514541626,0,0,1
